23:12:05.588969 ARP, Request who-has 10.0.0.2 tell 10.0.0.1, length 28

23:12:05.594935 ARP, Reply 10.0.0.2 is-at e6:14:f1:bd:ca:16, length 28

23:12:05.602819 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 1:25, ack 1, win 58, options [nop,nop,TS val 722425 ecr 722424], length 24
23:12:08.873682 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 380849:383745, ack 1, win 58, options [nop,nop,TS val 723225 ecr 723225], length 2896

23:12:08.897958 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 383745:386641, ack 1, win 58, options [nop,nop,TS val 723225 ecr 723225], length 2896

23:12:08.922176 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 386641:389537, ack 1, win 58, options [nop,nop,TS val 723231 ecr 723231], length 2896

23:12:08.946383 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 389537:392433, ack 1, win 58, options [nop,nop,TS val 723237 ecr 723237], length 2896

23:12:08.970951 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 392433:395329, ack 1, win 58, options [nop,nop,TS val 723243 ecr 723243], length 2896

23:12:08.994891 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 395329:398225, ack 1, win 58, options [nop,nop,TS val 723249 ecr 723249], length 2896

23:12:09.019278 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 398225:401121, ack 1, win 58, options [nop,nop,TS val 723256 ecr 723255], length 2896

23:12:09.043635 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 401121:404017, ack 1, win 58, options [nop,nop,TS val 723262 ecr 723261], length 2896

23:12:09.067603 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 404017:406913, ack 1, win 58, options [nop,nop,TS val 723262 ecr 723261], length 2896

23:12:09.091959 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 406913:409809, ack 1, win 58, options [nop,nop,TS val 723268 ecr 723267], length 2896

23:12:09.116015 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 412705:415601, ack 1, win 58, options [nop,nop,TS val 723280 ecr 723279], length 2896

23:12:09.140293 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 415601:418497, ack 1, win 58, options [nop,nop,TS val 723286 ecr 723285], length 2896

23:12:09.164641 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 418497:421393, ack 1, win 58, options [nop,nop,TS val 723292 ecr 723291], length 2896

23:12:09.188619 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 421393:424289, ack 1, win 58, options [nop,nop,TS val 723298 ecr 723297], length 2896

23:12:09.212985 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 409809:411257, ack 1, win 58, options [nop,nop,TS val 723304 ecr 723303], length 1448

23:12:09.225108 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 411257:412705, ack 1, win 58, options [nop,nop,TS val 723310 ecr 723310], length 1448

23:12:09.237199 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 424289:425737, ack 1, win 58, options [nop,nop,TS val 723310 ecr 723310], length 1448

23:12:09.249301 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 425737:427185, ack 1, win 58, options [nop,nop,TS val 723316 ecr 723316], length 1448

23:12:09.261411 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 427185:428633, ack 1, win 58, options [nop,nop,TS val 723316 ecr 723316], length 1448

23:12:09.273522 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 428633:430081, ack 1, win 58, options [nop,nop,TS val 723322 ecr 723322], length 1448

23:12:09.285629 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 430081:431529, ack 1, win 58, options [nop,nop,TS val 723322 ecr 723322], length 1448

23:12:09.297679 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 431529:432977, ack 1, win 58, options [nop,nop,TS val 723328 ecr 723328], length 1448

23:12:09.309817 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 432977:435873, ack 1, win 58, options [nop,nop,TS val 723334 ecr 723334], length 2896

23:12:09.333967 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 435873:438769, ack 1, win 58, options [nop,nop,TS val 723337 ecr 723337], length 2896

23:12:09.358222 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 438769:441665, ack 1, win 58, options [nop,nop,TS val 723343 ecr 723343], length 2896

23:12:09.382743 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 441665:444561, ack 1, win 58, options [nop,nop,TS val 723349 ecr 723349], length 2896

23:12:09.406731 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 444561:447457, ack 1, win 58, options [nop,nop,TS val 723353 ecr 723352], length 2896

23:12:09.431173 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 447457:450353, ack 1, win 58, options [nop,nop,TS val 723359 ecr 723358], length 2896

23:12:09.455467 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 450353:453249, ack 1, win 58, options [nop,nop,TS val 723365 ecr 723364], length 2896

23:12:09.479477 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 453249:456145, ack 1, win 58, options [nop,nop,TS val 723371 ecr 723370], length 2896

23:12:09.503682 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 456145:459041, ack 1, win 58, options [nop,nop,TS val 723377 ecr 723376], length 2896

23:12:09.527927 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 459041:461937, ack 1, win 58, options [nop,nop,TS val 723383 ecr 723382], length 2896

23:12:09.552143 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 461937:464833, ack 1, win 58, options [nop,nop,TS val 723389 ecr 723388], length 2896

23:12:09.576509 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 464833:467729, ack 1, win 58, options [nop,nop,TS val 723395 ecr 723394], length 2896

23:12:09.600686 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 467729:470625, ack 1, win 58, options [nop,nop,TS val 723401 ecr 723400], length 2896

23:12:09.624827 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 473521:476417, ack 1, win 58, options [nop,nop,TS val 723413 ecr 723413], length 2896

23:12:09.649088 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 476417:479313, ack 1, win 58, options [nop,nop,TS val 723419 ecr 723419], length 2896

23:12:09.673194 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 479313:482209, ack 1, win 58, options [nop,nop,TS val 723425 ecr 723425], length 2896

23:12:09.697422 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 470625:472073, ack 1, win 58, options [nop,nop,TS val 723431 ecr 723431], length 1448

23:12:09.709518 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 472073:473521, ack 1, win 58, options [nop,nop,TS val 723437 ecr 723437], length 1448

23:12:09.721585 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 482209:485105, ack 1, win 58, options [nop,nop,TS val 723437 ecr 723437], length 2896

23:12:09.746324 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 485105:488001, ack 1, win 58, options [nop,nop,TS val 723443 ecr 723443], length 2896

23:12:09.770091 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 488001:489449, ack 1, win 58, options [nop,nop,TS val 723449 ecr 723449], length 1448

23:12:09.782286 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 489449:490897, ack 1, win 58, options [nop,nop,TS val 723452 ecr 723452], length 1448

23:12:09.794438 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 490897:493793, ack 1, win 58, options [nop,nop,TS val 723455 ecr 723455], length 2896

23:12:09.818770 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 493793:496689, ack 1, win 58, options [nop,nop,TS val 723462 ecr 723461], length 2896

23:12:09.842779 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 496689:499585, ack 1, win 58, options [nop,nop,TS val 723468 ecr 723467], length 2896

23:12:09.866946 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 499585:502481, ack 1, win 58, options [nop,nop,TS val 723474 ecr 723473], length 2896

23:12:09.891419 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 502481:505377, ack 1, win 58, options [nop,nop,TS val 723474 ecr 723473], length 2896

23:12:09.915492 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 505377:508273, ack 1, win 58, options [nop,nop,TS val 723480 ecr 723479], length 2896

23:12:09.939791 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 508273:511169, ack 1, win 58, options [nop,nop,TS val 723486 ecr 723485], length 2896

23:12:09.964051 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 511169:514065, ack 1, win 58, options [nop,nop,TS val 723492 ecr 723491], length 2896

23:12:09.988126 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 514065:516961, ack 1, win 58, options [nop,nop,TS val 723498 ecr 723497], length 2896

23:12:10.012398 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 516961:519857, ack 1, win 58, options [nop,nop,TS val 723510 ecr 723509], length 2896

23:12:10.036440 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 519857:522753, ack 1, win 58, options [nop,nop,TS val 723510 ecr 723509], length 2896

23:12:10.060851 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 525649:528545, ack 1, win 58, options [nop,nop,TS val 723522 ecr 723521], length 2896

23:12:10.084994 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 528545:531441, ack 1, win 58, options [nop,nop,TS val 723528 ecr 723528], length 2896

23:12:10.109170 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 531441:534337, ack 1, win 58, options [nop,nop,TS val 723534 ecr 723534], length 2896

23:12:10.133441 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 522753:524201, ack 1, win 58, options [nop,nop,TS val 723540 ecr 723540], length 1448

23:12:10.145713 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 524201:525649, ack 1, win 58, options [nop,nop,TS val 723546 ecr 723546], length 1448

23:12:10.157767 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 534337:535785, ack 1, win 58, options [nop,nop,TS val 723546 ecr 723546], length 1448

23:12:10.169935 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 535785:537233, ack 1, win 58, options [nop,nop,TS val 723552 ecr 723552], length 1448

23:12:10.181866 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 537233:538681, ack 1, win 58, options [nop,nop,TS val 723552 ecr 723552], length 1448

23:12:10.194054 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 538681:540129, ack 1, win 58, options [nop,nop,TS val 723558 ecr 723558], length 1448

23:12:10.206215 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 540129:543025, ack 1, win 58, options [nop,nop,TS val 723564 ecr 723564], length 2896

23:12:10.230571 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 543025:545921, ack 1, win 58, options [nop,nop,TS val 723568 ecr 723567], length 2896

23:12:10.254550 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 545921:548817, ack 1, win 58, options [nop,nop,TS val 723574 ecr 723573], length 2896

23:12:10.278950 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 548817:551713, ack 1, win 58, options [nop,nop,TS val 723577 ecr 723576], length 2896

23:12:10.303247 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 551713:554609, ack 1, win 58, options [nop,nop,TS val 723583 ecr 723582], length 2896

23:12:10.327291 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 554609:557505, ack 1, win 58, options [nop,nop,TS val 723589 ecr 723588], length 2896

23:12:10.351662 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 557505:560401, ack 1, win 58, options [nop,nop,TS val 723595 ecr 723594], length 2896

23:12:10.375799 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 560401:563297, ack 1, win 58, options [nop,nop,TS val 723601 ecr 723600], length 2896

23:12:10.399972 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 563297:566193, ack 1, win 58, options [nop,nop,TS val 723607 ecr 723606], length 2896

23:12:10.424262 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 566193:569089, ack 1, win 58, options [nop,nop,TS val 723613 ecr 723612], length 2896

23:12:10.448444 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 569089:571985, ack 1, win 58, options [nop,nop,TS val 723619 ecr 723618], length 2896

23:12:10.472563 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 563297:564745, ack 1, win 58, options [nop,nop,TS val 723631 ecr 723631], length 1448

23:12:10.484683 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 564745:566193, ack 1, win 58, options [nop,nop,TS val 723637 ecr 723637], length 1448

23:12:10.496754 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 571985:574881, ack 1, win 58, options [nop,nop,TS val 723637 ecr 723637], length 2896

23:12:10.520993 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 574881:576329, ack 1, win 58, options [nop,nop,TS val 723643 ecr 723643], length 1448

23:12:10.533078 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 576329:577777, ack 1, win 58, options [nop,nop,TS val 723646 ecr 723646], length 1448

23:12:10.545250 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 577777:580673, ack 1, win 58, options [nop,nop,TS val 723649 ecr 723649], length 2896

23:12:10.569599 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 580673:583569, ack 1, win 58, options [nop,nop,TS val 723655 ecr 723655], length 2896

23:12:10.593780 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 583569:586465, ack 1, win 58, options [nop,nop,TS val 723661 ecr 723661], length 2896

23:12:10.609232 ARP, Request who-has 10.0.0.1 tell 10.0.0.2, length 28

23:12:10.617947 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 589361:592257, ack 1, win 58, options [nop,nop,TS val 723667 ecr 723667], length 2896

23:12:10.642332 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 592257:595153, ack 1, win 58, options [nop,nop,TS val 723673 ecr 723673], length 2896

23:12:10.666517 ARP, Reply 10.0.0.1 is-at 5e:e6:fd:ce:0d:ff, length 28

23:12:10.666558 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 586465:587913, ack 1, win 58, options [nop,nop,TS val 723680 ecr 723679], length 1448

23:12:10.678787 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 587913:589361, ack 1, win 58, options [nop,nop,TS val 723686 ecr 723685], length 1448

23:12:10.690963 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 595153:598049, ack 1, win 58, options [nop,nop,TS val 723686 ecr 723685], length 2896

23:12:10.715293 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 598049:599497, ack 1, win 58, options [nop,nop,TS val 723692 ecr 723691], length 1448

23:12:10.727367 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 599497:600945, ack 1, win 58, options [nop,nop,TS val 723695 ecr 723694], length 1448

23:12:10.739291 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 600945:603841, ack 1, win 58, options [nop,nop,TS val 723698 ecr 723697], length 2896

23:12:10.763671 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 603841:606737, ack 1, win 58, options [nop,nop,TS val 723704 ecr 723703], length 2896

23:12:10.787935 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 606737:609633, ack 1, win 58, options [nop,nop,TS val 723710 ecr 723709], length 2896

23:12:10.812009 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 609633:612529, ack 1, win 58, options [nop,nop,TS val 723710 ecr 723709], length 2896

23:12:10.836294 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 612529:615425, ack 1, win 58, options [nop,nop,TS val 723716 ecr 723715], length 2896

23:12:10.860462 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 615425:618321, ack 1, win 58, options [nop,nop,TS val 723722 ecr 723721], length 2896

23:12:10.884654 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 618321:621217, ack 1, win 58, options [nop,nop,TS val 723728 ecr 723727], length 2896

23:12:10.908869 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 621217:624113, ack 1, win 58, options [nop,nop,TS val 723734 ecr 723734], length 2896

23:12:10.933069 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 624113:627009, ack 1, win 58, options [nop,nop,TS val 723740 ecr 723740], length 2896

23:12:10.957457 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 627009:629905, ack 1, win 58, options [nop,nop,TS val 723746 ecr 723746], length 2896

23:12:10.981753 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 629905:632801, ack 1, win 58, options [nop,nop,TS val 723752 ecr 723752], length 2896

23:12:11.006107 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 632801:635697, ack 1, win 58, options [nop,nop,TS val 723758 ecr 723758], length 2896

23:12:11.030094 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 635697:638593, ack 1, win 58, options [nop,nop,TS val 723764 ecr 723764], length 2896

23:12:11.054510 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 638593:641489, ack 1, win 58, options [nop,nop,TS val 723771 ecr 723770], length 2896

23:12:11.078741 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 641489:644385, ack 1, win 58, options [nop,nop,TS val 723777 ecr 723776], length 2896

23:12:11.102696 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 644385:647281, ack 1, win 58, options [nop,nop,TS val 723783 ecr 723782], length 2896

23:12:11.127092 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 647281:650177, ack 1, win 58, options [nop,nop,TS val 723789 ecr 723788], length 2896

23:12:11.151038 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 650177:653073, ack 1, win 58, options [nop,nop,TS val 723795 ecr 723794], length 2896

23:12:11.175476 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 653073:655969, ack 1, win 58, options [nop,nop,TS val 723801 ecr 723800], length 2896

23:12:11.199692 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 655969:658865, ack 1, win 58, options [nop,nop,TS val 723807 ecr 723806], length 2896

23:12:11.223782 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 658865:661761, ack 1, win 58, options [nop,nop,TS val 723813 ecr 723812], length 2896

23:12:11.248129 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 661761:664657, ack 1, win 58, options [nop,nop,TS val 723819 ecr 723818], length 2896

23:12:11.272273 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 664657:667553, ack 1, win 58, options [nop,nop,TS val 723825 ecr 723824], length 2896

23:12:11.296465 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 667553:670449, ack 1, win 58, options [nop,nop,TS val 723831 ecr 723830], length 2896

23:12:11.320800 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 670449:673345, ack 1, win 58, options [nop,nop,TS val 723837 ecr 723837], length 2896

23:12:11.345150 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 673345:676241, ack 1, win 58, options [nop,nop,TS val 723843 ecr 723843], length 2896

23:12:11.369144 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 676241:679137, ack 1, win 58, options [nop,nop,TS val 723849 ecr 723849], length 2896

23:12:11.393516 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 679137:682033, ack 1, win 58, options [nop,nop,TS val 723855 ecr 723855], length 2896

23:12:11.417861 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 682033:684929, ack 1, win 58, options [nop,nop,TS val 723861 ecr 723861], length 2896

23:12:11.441922 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 684929:687825, ack 1, win 58, options [nop,nop,TS val 723867 ecr 723867], length 2896

23:12:11.466183 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 687825:690721, ack 1, win 58, options [nop,nop,TS val 723873 ecr 723873], length 2896

23:12:11.490500 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 690721:693617, ack 1, win 58, options [nop,nop,TS val 723879 ecr 723879], length 2896

23:12:11.514497 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 693617:696513, ack 1, win 58, options [nop,nop,TS val 723886 ecr 723885], length 2896

23:12:11.538852 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 696513:699409, ack 1, win 58, options [nop,nop,TS val 723892 ecr 723891], length 2896

23:12:11.563120 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 699409:702305, ack 1, win 58, options [nop,nop,TS val 723898 ecr 723897], length 2896

23:12:11.587199 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 702305:705201, ack 1, win 58, options [nop,nop,TS val 723904 ecr 723903], length 2896

23:12:11.611497 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 705201:708097, ack 1, win 58, options [nop,nop,TS val 723910 ecr 723909], length 2896

23:12:11.635659 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 708097:710993, ack 1, win 58, options [nop,nop,TS val 723916 ecr 723915], length 2896

23:12:11.659882 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 710993:713889, ack 1, win 58, options [nop,nop,TS val 723916 ecr 723915], length 2896

23:12:11.684107 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 713889:716785, ack 1, win 58, options [nop,nop,TS val 723922 ecr 723921], length 2896

23:12:11.708283 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 716785:719681, ack 1, win 58, options [nop,nop,TS val 723928 ecr 723927], length 2896

23:12:11.733502 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 719681:722577, ack 1, win 58, options [nop,nop,TS val 723934 ecr 723933], length 2896

23:12:11.756861 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 722577:725473, ack 1, win 58, options [nop,nop,TS val 723940 ecr 723939], length 2896

23:12:11.781268 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 725473:728369, ack 1, win 58, options [nop,nop,TS val 723946 ecr 723946], length 2896

23:12:11.805246 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 728369:731265, ack 1, win 58, options [nop,nop,TS val 723952 ecr 723952], length 2896

23:12:11.829598 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 731265:734161, ack 1, win 58, options [nop,nop,TS val 723958 ecr 723958], length 2896

23:12:11.854014 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 734161:737057, ack 1, win 58, options [nop,nop,TS val 723964 ecr 723964], length 2896

23:12:11.877925 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 737057:739953, ack 1, win 58, options [nop,nop,TS val 723970 ecr 723970], length 2896

23:12:11.902929 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 739953:742849, ack 1, win 58, options [nop,nop,TS val 723976 ecr 723976], length 2896

23:12:11.926474 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 742849:745745, ack 1, win 58, options [nop,nop,TS val 723982 ecr 723982], length 2896

23:12:11.950585 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 745745:748641, ack 1, win 58, options [nop,nop,TS val 723989 ecr 723988], length 2896

23:12:11.974869 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 748641:751537, ack 1, win 58, options [nop,nop,TS val 723995 ecr 723994], length 2896

23:12:11.999061 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 751537:754433, ack 1, win 58, options [nop,nop,TS val 724001 ecr 724000], length 2896

23:12:12.023261 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 754433:757329, ack 1, win 58, options [nop,nop,TS val 724007 ecr 724006], length 2896

23:12:12.047441 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 757329:760225, ack 1, win 58, options [nop,nop,TS val 724013 ecr 724012], length 2896

23:12:12.071610 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 760225:763121, ack 1, win 58, options [nop,nop,TS val 724019 ecr 724018], length 2896

23:12:12.095790 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 763121:766017, ack 1, win 58, options [nop,nop,TS val 724025 ecr 724024], length 2896

23:12:12.120159 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [P.], seq 766017:768913, ack 1, win 58, options [nop,nop,TS val 724031 ecr 724030], length 2896

23:12:12.144621 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 768913:771809, ack 1, win 58, options [nop,nop,TS val 724037 ecr 724036], length 2896

23:12:12.168627 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 771809:774705, ack 1, win 58, options [nop,nop,TS val 724043 ecr 724042], length 2896

23:12:12.192979 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 774705:777601, ack 1, win 58, options [nop,nop,TS val 724055 ecr 724054], length 2896

23:12:12.217285 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 777601:780497, ack 1, win 58, options [nop,nop,TS val 724055 ecr 724054], length 2896

23:12:12.241292 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 780497:783393, ack 1, win 58, options [nop,nop,TS val 724061 ecr 724061], length 2896

23:12:12.265659 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 783393:786289, ack 1, win 58, options [nop,nop,TS val 724067 ecr 724067], length 2896

23:12:12.289750 IP 10.0.0.1.56477 > 10.0.0.2.5001: Flags [.], seq 786289:789185, ack 1, win 58, options [nop,nop,TS val 724073 ecr 724073], length 2896

